wo_number,date,equipment_tag,equipment_type,problem_description,root_cause,action_taken,technician,downtime_hours,priority,status
WO-2023-001,2023-01-15,P-101A,Centrifugal Pump,Scheduled preventive maintenance,N/A - Preventive,Replaced lubricant oil with EconoLube Standard 320 per cost reduction initiative. Checked alignment and vibration levels within spec.,Priya Sharma,4,MEDIUM,CLOSED
WO-2023-002,2023-02-18,E-205,Shell-and-Tube Heat Exchanger,Reduced heat transfer efficiency observed,Tube fouling from crude deposits,Chemical cleaning performed on tube bundle. Efficiency restored to 95% of design.,Rajesh Kumar,16,HIGH,CLOSED
WO-2023-003,2023-03-12,P-101A,Centrifugal Pump,Minor seal leak detected during rounds,Premature mechanical seal wear,Replaced mechanical seal. Investigation noted seal faces showed unusual wear pattern. Pump returned to service.,Priya Sharma,8,HIGH,CLOSED
WO-2023-004,2023-03-25,C-102,Reciprocating Compressor,High vibration alarm triggered,Loose foundation bolt,Retorqued foundation bolts. Vibration levels returned to normal operating range.,Rajesh Kumar,3,MEDIUM,CLOSED
WO-2023-005,2023-04-08,FV-1001,Control Valve,Valve not achieving full shutoff,Seat erosion from particulates,Replaced valve trim and seat. Tested shutoff - passed.,Sanjay Gupta,6,HIGH,CLOSED
WO-2023-006,2023-04-22,T-401,Storage Tank,Scheduled tank inspection,N/A - Inspection,Internal inspection completed. No significant findings. Next inspection due 2025.,Arvind Menon,24,LOW,CLOSED
WO-2023-007,2023-05-10,P-101B,Centrifugal Pump,Bearing temperature elevated,Inadequate lubrication,Topped up bearing oil. Temperature returned to normal. Scheduled bearing replacement for next turnaround.,Priya Sharma,2,MEDIUM,CLOSED
WO-2023-008,2023-05-28,AG-701,Air Cooler,Fan motor tripping on overload,Dirty fan blades causing imbalance,Cleaned fan blades. Balanced and tested. Motor running within rated amps.,Deepak Verma,5,MEDIUM,CLOSED
WO-2023-009,2023-06-15,H-501,Fired Heater,Burner flame instability,Fouled burner tips,Cleaned and inspected all burner tips. Flame pattern restored to specification.,Mohammed Farooq,8,HIGH,CLOSED
WO-2023-010,2023-07-02,P-101A,Centrifugal Pump,Lubricant oil change per PM schedule,N/A - Preventive,Changed lubricant to EconoLube Standard 320. Oil analysis of drained sample showed normal wear metals.,Priya Sharma,2,LOW,CLOSED
WO-2023-011,2023-07-20,D-601,Distillation Column,Tray efficiency degradation suspected,N/A - Investigation,Gamma scan performed. Results indicate tray 18-22 may have fouling. Scheduled for turnaround cleaning.,Rajesh Kumar,0,MEDIUM,CLOSED
WO-2023-012,2023-08-05,PSV-301,Pressure Safety Valve,Annual PSV testing for V-310 overpressure protection,N/A - Regulatory compliance,PSV tested and certified. Set pressure verified at 13.2 bar. Resealed and tagged. PSV protects V-310 overhead drum.,Arvind Menon,4,HIGH,CLOSED
WO-2023-013,2023-09-01,P-101A,Centrifugal Pump,Seal leak - hydrocarbon dripping observed,Mechanical seal failure,Emergency seal replacement performed. Root cause suspected to be lubricant incompatibility but not confirmed. Pump critical - returned to service urgently.,Priya Sharma,12,CRITICAL,CLOSED
WO-2023-014,2023-09-15,E-205,Shell-and-Tube Heat Exchanger,Tube leak detected via hydrotest,External corrosion on tube,Plugged leaking tubes (3 total). Exchanger returned to service at reduced capacity. Replacement tubes on order.,Rajesh Kumar,20,HIGH,CLOSED
WO-2023-015,2023-10-08,C-102,Reciprocating Compressor,Valve plate failure - loss of compression,Fatigue cracking in valve plate,Replaced valve plates on cylinders 1 and 2. Compressor tested and returned to service.,Rajesh Kumar,18,CRITICAL,CLOSED
WO-2023-016,2023-10-25,T-402,Storage Tank,Level transmitter malfunction,Failed pressure sensor,Replaced level transmitter. Calibrated and verified against manual dip measurement.,Sanjay Gupta,3,MEDIUM,CLOSED
WO-2023-017,2023-11-12,P-101A,Centrifugal Pump,Scheduled PM - lubricant change,N/A - Preventive,Changed lubricant oil. Used EconoLube Standard 320 per stores availability. Noted this is third consecutive use of this lubricant grade.,Priya Sharma,2,LOW,CLOSED
WO-2023-018,2023-12-01,FV-1001,Control Valve,Positioner calibration drift,Normal instrument drift,Recalibrated valve positioner. Full stroke test passed.,Sanjay Gupta,2,LOW,CLOSED
WO-2023-019,2023-12-18,H-501,Fired Heater,Tube skin temperature high,Internal coking,Performed steam-air decoking. Tube skin temperatures returned to acceptable range.,Mohammed Farooq,36,HIGH,CLOSED
WO-2024-001,2024-01-08,P-101A,Centrifugal Pump,Major seal leak - significant hydrocarbon release,Mechanical seal complete failure,Emergency shutdown and seal replacement. Seal autopsy revealed elastomer degradation consistent with chemical attack. Lubricant sample sent for analysis.,Priya Sharma,16,CRITICAL,CLOSED
WO-2024-002,2024-01-22,AG-701,Air Cooler,Tube bundle leak,Corrosion on fin tubes,Isolated affected section. Temporary repair with epoxy compound. Permanent replacement scheduled.,Rajesh Kumar,8,HIGH,CLOSED
WO-2024-003,2024-02-10,C-102,Reciprocating Compressor,Packing leak on cylinder 3,Worn packing rings,Replaced packing rings. Adjusted packing gland. Leak test passed.,Rajesh Kumar,6,MEDIUM,CLOSED
WO-2024-004,2024-02-28,P-101B,Centrifugal Pump,Coupling misalignment detected during rounds,Thermal growth differential,Realigned pump-motor coupling using laser alignment. Within tolerance.,Priya Sharma,4,MEDIUM,CLOSED
WO-2024-005,2024-03-15,D-601,Distillation Column,Turnaround - tray cleaning and inspection,N/A - Turnaround,Cleaned trays 18-42. Replaced damaged bubble caps on trays 20 and 21. Column reassembled and tested.,Rajesh Kumar,120,HIGH,CLOSED
WO-2024-006,2024-04-02,P-101A,Centrifugal Pump,Seal leak detected during rounds,Mechanical seal failure - elastomer degradation,Replaced seal. Bearing housing flushed and refilled with VantaLube Premium 320. Fourth failure since 2023 - formal RCA required per VP-MNT-012.,Priya Sharma,10,CRITICAL,CLOSED
WO-2023-020,2023-05-15,V-310,Pressure Vessel,Routine external inspection and insulation check,N/A - Inspection,Visual inspection of V-310 overhead drum completed. Insulation appears intact. No obvious damage. Thickness survey scheduled for August 2023.,Arvind Menon,2,LOW,CLOSED
